Rank,Player,Team,Pos,Game,Spread,O/U,Final_Proj,Ceiling,Floor,Std_Dev,Ownership,Leverage,Status,Notes
41,Kevon Harris,ORL,F,MIL @ ORL,ORL -10.5,218.5,16.8,24,8,5.5,12%,DEEP_FLIER,ACTIVE,Role player - lowest O/U game
42,Aaron Gordon,DEN,PF,CLE @ DEN,CLE -1.5,237.5,0,0,0,0,0%,OUT,OUT,OUT through Feb 27 - REMOVED
43,Naz Reid,MIN,C,ATL @ MIN,MIN -6.5,237.5,23.4,32,13,6.0,26%,VALUE,ACTIVE,Backup C - 10.2 PPG - pace environment helpful
44,Taurean Prince,MIL,G,MIL @ ORL,ORL -10.5,218.5,15.2,22,8,5.3,11%,DEEP_FLIER,OUT,Expected out through Feb 20 - REMOVED
45,Herbert Jones,NOP,F,SAC @ NOP,TBD,~215,19.8,28,10,5.9,21%,VALUE,ACTIVE,Defensive forward - limited scoring but reliable
46,Brandon Ingram,NOP,F,SAC @ NOP,TBD,~215,24.3,33,14,6.2,38%,NEUTRAL,ACTIVE,26.1 PPG season avg - consistent scorer
47,Isaiah Jackson,LAC,C,OKC @ LAL,OKC -4,220.5,18.6,26,10,5.6,14%,FLIER,GTD,GTD (not injury) - bench role
48,Bennedict Mathurin,LAC,G,OKC @ LAL,OKC -4,220.5,21.4,29,11,6.0,19%,VALUE,GTD,GTD status - likely plays
49,Darius Garland,LAC,G,OKC @ LAL,OKC -4,220.5,23.7,32,13,6.1,25%,VALUE,GTD,GTD toe - starter role if plays
50,Trey Burke,OKC,G,OKC @ LAL,OKC -4,220.5,17.2,24,9,5.5,12%,DEEP_FLIER,ACTIVE,Backup PG - low ownership depth play
51,Austin Reaves,LAL,G,OKC @ LAL,OKC -4,220.5,24.3,33,14,6.1,32%,VALUE,ACTIVE,18.6 PPG - role expansion vs depleted OKC
52,Rui Hachimura,LAL,F,OKC @ LAL,OKC -4,220.5,19.7,27,10,5.8,18%,VALUE,ACTIVE,10.2 PPG - solid forward depth
53,D'Angelo Russell,LAL,G,OKC @ LAL,OKC -4,220.5,22.1,30,12,6.0,21%,VALUE,GTD,GTD illness - if plays: reliable scorer
54,Thomas Bryant,LAL,C,OKC @ LAL,OKC -4,220.5,16.8,24,8,5.5,12%,DEEP_FLIER,ACTIVE,Backup C - limited role
55,Cam Reddish,LAL,F,OKC @ LAL,OKC -4,220.5,15.4,22,8,5.3,10%,DEEP_FLIER,ACTIVE,Wing depth - low ownership
